Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Season,Review Rating,Subscription Status,Shipping Type,Previous Purchases,Payment Method,Frequency of Purchases
47.0,Male,Blouse,Clothing,78.0,Alaska,Winter,3.9,Yes,2-Day Shipping,23,Credit Card,Every 3 Months
64.0,Male,Skirt,Clothing,25.0,Arkansas,Spring,2.8,Yes,2-Day Shipping,14,Debit Card,Bi-Weekly
18.0,Male,Sweater,Clothing,57.0,Oregon,Winter,3.2,Yes,Next Day Air,10,Bank Transfer,Every 3 Months
68.0,Male,Backpack,Accessories,93.0,Louisiana,Summer,4.3,Yes,Next Day Air,37,Cash,Weekly
62.0,Male,Hoodie,Clothing,42.0,Oklahoma,Summer,4.2,Yes,Express,15,Venmo,Bi-Weekly
51.0,Male,Boots,Footwear,54.0,Indiana,Spring,4.9,Yes,Standard,19,Venmo,Bi-Weekly
54.0,Male,Blouse,Clothing,70.0,Mississippi,Summer,3.7,Yes,Express,23,Credit Card,Fortnightly
22.0,Male,Hoodie,Clothing,31.0,Michigan,Winter,4.1,Yes,Store Pickup,35,Credit Card,Weekly
53.0,Male,Pants,Clothing,93.0,Delaware,Spring,4.2,Yes,Store Pickup,33,PayPal,Every 3 Months
34.0,Male,Gloves,Accessories,40.0,Florida,Spring,3.9,Yes,Next Day Air,12,Bank Transfer,Annually
32.0,Male,Hat,Accessories,32.0,Arkansas,Summer,2.9,Yes,Next Day Air,41,Venmo,Fortnightly
64.0,Male,Sunglasses,Accessories,27.0,Minnesota,Winter,3.1,Yes,Free Shipping,27,Venmo,Weekly
20.0,Male,Scarf,Accessories,68.0,North Dakota,Winter,3.6,Yes,2-Day Shipping,45,Cash,Fortnightly
24.0,Male,Handbag,Accessories,59.0,California,Summer,4.4,Yes,2-Day Shipping,23,Venmo,Annually
20.0,Male,Handbag,Accessories,36.0,Mississippi,Fall,3.1,Yes,Free Shipping,19,Venmo,Monthly
42.0,Male,Jeans,Clothing,23.0,Pennsylvania,Summer,3.9,Yes,Standard,6,PayPal,Quarterly
48.0,Male,Jacket,Outerwear,80.0,Arizona,Winter,4.3,Yes,Free Shipping,6,PayPal,Quarterly
62.0,Male,Backpack,Accessories,37.0,Louisiana,Fall,4.9,Yes,Store Pickup,20,Venmo,Weekly
62.0,Male,Shorts,Clothing,52.0,Virginia,Spring,3.6,Yes,2-Day Shipping,8,Cash,Weekly
50.0,Male,Coat,Outerwear,79.0,Montana,Fall,5.0,Yes,2-Day Shipping,39,Credit Card,Quarterly
57.0,Male,Shirt,Clothing,68.0,Iowa,Fall,4.1,Yes,Store Pickup,39,Credit Card,Quarterly
24.0,Male,Gloves,Accessories,98.0,Illinois,Fall,2.8,Yes,Express,39,Venmo,Bi-Weekly
59.0,Male,Dress,Clothing,83.0,Alaska,Fall,4.7,Yes,Express,23,Credit Card,Monthly
63.0,Male,Pants,Clothing,83.0,Colorado,Winter,4.4,Yes,Express,41,PayPal,Bi-Weekly
41.0,Male,Pants,Clothing,55.0,New Mexico,Spring,4.9,Yes,2-Day Shipping,50,Credit Card,Annually
35.0,Male,Hoodie,Clothing,26.0,Colorado,Winter,3.1,Yes,Free Shipping,30,Debit Card,Quarterly
34.0,Male,Sunglasses,Accessories,76.0,Arizona,Winter,2.6,Yes,Standard,32,Bank Transfer,Quarterly
49.0,Male,T-shirt,Clothing,85.0,Hawaii,Fall,2.9,Yes,Express,35,Bank Transfer,Monthly
43.0,Male,Jacket,Outerwear,89.0,Illinois,Spring,3.3,Yes,Free Shipping,45,Venmo,Bi-Weekly
63.0,Male,Sweater,Clothing,41.0,Louisiana,Spring,4.8,Yes,Next Day Air,37,Cash,Bi-Weekly
38.0,Male,Jacket,Outerwear,30.0,Iowa,Winter,4.7,Yes,Express,45,Cash,Weekly
59.0,Male,Socks,Clothing,53.0,Washington,Winter,3.3,Yes,2-Day Shipping,29,Cash,Quarterly
35.0,Male,Shirt,Clothing,66.0,Oklahoma,Spring,4.2,Yes,Free Shipping,27,Venmo,Bi-Weekly
48.0,Male,Jewelry,Accessories,33.0,Washington,Winter,4.7,Yes,Store Pickup,36,Bank Transfer,Annually
64.0,Male,Sunglasses,Accessories,86.0,Arkansas,Spring,2.6,Yes,2-Day Shipping,9,Cash,Annually
28.0,Male,Pants,Clothing,60.0,Connecticut,Winter,2.9,Yes,2-Day Shipping,38,Venmo,Bi-Weekly
60.0,Male,Socks,Clothing,62.0,Washington,Summer,2.7,Yes,Express,41,PayPal,Annually
27.0,Male,Blouse,Clothing,74.0,Maine,Fall,3.3,Yes,Store Pickup,25,Debit Card,Every 3 Months
56.0,Male,Sandals,Footwear,95.0,Michigan,Fall,3.4,Yes,Express,37,Venmo,Fortnightly
58.0,Male,Sneakers,Footwear,25.0,Tennessee,Spring,4.2,Yes,Express,3,PayPal,Annually
30.0,Male,Shirt,Clothing,59.0,Louisiana,Winter,3.8,Yes,2-Day Shipping,24,Credit Card,Every 3 Months
23.0,Male,Jacket,Outerwear,29.0,Missouri,Summer,4.0,Yes,Standard,49,Credit Card,Bi-Weekly
33.0,Male,Sandals,Footwear,36.0,Michigan,Winter,2.7,Yes,Free Shipping,3,Bank Transfer,Monthly
63.0,Male,Hat,Accessories,82.0,Alabama,Summer,4.7,Yes,Express,42,Debit Card,Monthly
70.0,Male,Blouse,Clothing,71.0,Massachusetts,Winter,3.5,Yes,Standard,32,Cash,Fortnightly
70.0,Male,Sweater,Clothing,35.0,Indiana,Fall,3.0,Yes,2-Day Shipping,33,Venmo,Fortnightly
19.0,Male,Gloves,Accessories,38.0,West Virginia,Winter,3.3,Yes,Free Shipping,46,Bank Transfer,Quarterly
25.0,Male,Scarf,Accessories,59.0,Michigan,Summer,4.7,Yes,Store Pickup,44,Venmo,Monthly
19.0,Male,Hoodie,Clothing,91.0,Pennsylvania,Summer,4.7,Yes,Express,35,Credit Card,Every 3 Months
25.0,Male,Shorts,Clothing,68.0,Alaska,Spring,4.8,Yes,Standard,45,Bank Transfer,Weekly
60.0,Male,Backpack,Accessories,21.0,Massachusetts,Summer,2.9,Yes,Standard,37,PayPal,Bi-Weekly
35.0,Male,Sunglasses,Accessories,95.0,North Dakota,Spring,4.0,Yes,2-Day Shipping,40,Debit Card,Every 3 Months
46.0,Male,Shorts,Clothing,52.0,Vermont,Spring,3.1,Yes,Free Shipping,30,Cash,Every 3 Months
41.0,Male,Dress,Clothing,21.0,Kentucky,Fall,3.5,Yes,2-Day Shipping,38,Venmo,Every 3 Months
30.0,Male,Shorts,Clothing,67.0,Nevada,Summer,3.7,Yes,Next Day Air,15,Debit Card,Every 3 Months
44.0,Male,Belt,Accessories,42.0,Utah,Fall,2.8,Yes,Standard,49,Cash,Monthly
61.0,Male,Scarf,Accessories,63.0,North Dakota,Summer,4.6,Yes,Free Shipping,40,Debit Card,Quarterly
55.0,Male,Boots,Footwear,41.0,Iowa,Winter,3.8,Yes,Standard,40,Debit Card,Weekly
50.0,Male,Handbag,Accessories,46.0,Connecticut,Fall,2.6,Yes,2-Day Shipping,5,PayPal,Weekly
57.0,Male,Pants,Clothing,79.0,Wisconsin,Winter,4.1,Yes,Standard,5,PayPal,Monthly
51.0,Male,Boots,Footwear,90.0,Idaho,Fall,3.3,Yes,Next Day Air,5,Debit Card,Every 3 Months
44.0,Male,Shirt,Clothing,71.0,Montana,Winter,3.4,Yes,Store Pickup,1,Cash,Weekly
63.0,Male,Dress,Clothing,87.0,Connecticut,Summer,3.0,Yes,Standard,21,Venmo,Weekly
34.0,Male,Hoodie,Clothing,66.0,Idaho,Spring,3.2,Yes,Express,18,PayPal,Annually
25.0,Male,Pants,Clothing,90.0,Arkansas,Summer,4.5,Yes,Free Shipping,49,Cash,Quarterly
46.0,Male,Jeans,Clothing,47.0,Iowa,Summer,4.8,Yes,Express,27,Debit Card,Weekly
59.0,Male,Shirt,Clothing,38.0,Louisiana,Spring,3.7,Yes,Next Day Air,21,Venmo,Annually
37.0,Male,Backpack,Accessories,50.0,Kentucky,Summer,3.4,Yes,Store Pickup,19,Cash,Fortnightly
49.0,Male,Jacket,Outerwear,79.0,Massachusetts,Summer,4.6,Yes,Standard,23,Debit Card,Monthly
22.0,Male,Scarf,Accessories,91.0,Virginia,Spring,4.1,Yes,Standard,26,PayPal,Fortnightly
64.0,Male,Boots,Footwear,60.0,New Hampshire,Spring,3.5,Yes,2-Day Shipping,13,Bank Transfer,Bi-Weekly
42.0,Male,Blouse,Clothing,81.0,New Hampshire,Summer,3.8,Yes,Next Day Air,36,Bank Transfer,Quarterly
37.0,Male,Hoodie,Clothing,90.0,Oregon,Summer,2.6,Yes,Express,39,Bank Transfer,Bi-Weekly
26.0,Male,Jacket,Outerwear,70.0,South Dakota,Fall,4.4,Yes,Store Pickup,40,Debit Card,Fortnightly
33.0,Male,Jeans,Clothing,63.0,Delaware,Spring,2.6,Yes,Express,37,Debit Card,Quarterly
30.0,Male,Jewelry,Accessories,29.0,Missouri,Spring,3.6,Yes,Express,9,Venmo,Bi-Weekly
21.0,Male,Socks,Clothing,90.0,Alaska,Spring,4.2,Yes,Express,7,Venmo,Every 3 Months
22.0,Male,Shirt,Clothing,22.0,Florida,Summer,4.6,Yes,Standard,25,Bank Transfer,Annually
63.0,Male,Shorts,Clothing,22.0,Mississippi,Summer,3.3,Yes,Next Day Air,42,Venmo,Bi-Weekly
33.0,Male,Jewelry,Accessories,62.0,New Mexico,Fall,3.4,Yes,Free Shipping,19,Debit Card,Weekly
43.0,Male,Blouse,Clothing,57.0,California,Summer,4.4,Yes,Next Day Air,41,Debit Card,Every 3 Months
27.0,Male,Sweater,Clothing,32.0,Wyoming,Summer,4.3,Yes,Store Pickup,50,Cash,Bi-Weekly
35.0,Male,Jewelry,Accessories,53.0,Missouri,Fall,3.5,Yes,Express,43,PayPal,Monthly
37.0,Male,T-shirt,Clothing,79.0,New Hampshire,Fall,4.7,Yes,Store Pickup,36,Venmo,Every 3 Months
61.0,Male,Hat,Accessories,61.0,Texas,Winter,3.1,Yes,Standard,33,Debit Card,Fortnightly
32.0,Male,Shorts,Clothing,78.0,North Dakota,Summer,3.6,Yes,Next Day Air,20,Bank Transfer,Every 3 Months
62.0,Male,Sweater,Clothing,97.0,Arkansas,Winter,4.8,Yes,Next Day Air,37,Venmo,Every 3 Months
29.0,Male,Jeans,Clothing,78.0,Nebraska,Winter,3.7,Yes,Next Day Air,12,PayPal,Every 3 Months
41.0,Male,Sunglasses,Accessories,56.0,Minnesota,Summer,3.2,Yes,Express,46,PayPal,Every 3 Months
48.0,Male,Boots,Footwear,25.0,Massachusetts,Summer,3.9,Yes,Standard,28,Venmo,Fortnightly
43.0,Male,Coat,Outerwear,28.0,Arkansas,Spring,3.5,Yes,Free Shipping,30,PayPal,Fortnightly
34.0,Male,Shirt,Clothing,57.0,New Hampshire,Spring,2.8,Yes,Express,28,Cash,Bi-Weekly
45.0,Male,Dress,Clothing,36.0,Rhode Island,Fall,2.7,Yes,2-Day Shipping,20,Debit Card,Bi-Weekly
65.0,Male,Shirt,Clothing,69.0,New Jersey,Winter,3.1,Yes,Express,39,Bank Transfer,Every 3 Months
61.0,Male,Sunglasses,Accessories,48.0,Montana,Fall,3.6,Yes,2-Day Shipping,48,Cash,Bi-Weekly
18.0,Male,Dress,Clothing,58.0,Colorado,Spring,2.9,Yes,2-Day Shipping,32,Credit Card,Every 3 Months
47.0,Male,Sunglasses,Accessories,24.0,Nebraska,Spring,3.6,Yes,Store Pickup,28,PayPal,Annually
56.0,Male,Sunglasses,Accessories,31.0,Minnesota,Winter,3.5,Yes,2-Day Shipping,27,Venmo,Quarterly
64.0,Male,Shorts,Clothing,29.0,Minnesota,Summer,3.5,Yes,Free Shipping,26,Venmo,Bi-Weekly
26.0,Male,Jeans,Clothing,69.0,South Dakota,Summer,2.8,Yes,Next Day Air,22,Credit Card,Fortnightly
22.0,Male,T-shirt,Clothing,79.0,West Virginia,Summer,4.7,Yes,Free Shipping,23,Bank Transfer,Every 3 Months
64.0,Male,Pants,Clothing,39.0,Nevada,Summer,3.1,Yes,Express,21,Debit Card,Quarterly
21.0,Male,Sunglasses,Accessories,84.0,North Carolina,Fall,4.9,Yes,Free Shipping,36,Cash,Weekly
67.0,Male,Boots,Footwear,66.0,Illinois,Spring,4.1,Yes,Next Day Air,42,Debit Card,Bi-Weekly
46.0,Male,T-shirt,Clothing,92.0,Michigan,Fall,4.7,Yes,Standard,4,Venmo,Monthly
40.0,Male,Sandals,Footwear,45.0,Michigan,Winter,2.5,Yes,Free Shipping,47,Credit Card,Annually
51.0,Male,Shorts,Clothing,74.0,Oklahoma,Spring,4.4,Yes,Next Day Air,13,Bank Transfer,Weekly
35.0,Male,Hat,Accessories,39.0,South Dakota,Fall,3.9,Yes,Free Shipping,8,Bank Transfer,Quarterly
56.0,Male,Scarf,Accessories,71.0,Oklahoma,Winter,3.7,Yes,Standard,11,Debit Card,Quarterly
25.0,Male,T-shirt,Clothing,95.0,Maryland,Fall,3.4,Yes,Free Shipping,5,Venmo,Annually
65.0,Male,Gloves,Accessories,72.0,Ohio,Fall,4.8,Yes,Free Shipping,1,Credit Card,Monthly
39.0,Male,Scarf,Accessories,85.0,Ohio,Fall,4.2,Yes,2-Day Shipping,17,PayPal,Every 3 Months
47.0,Male,Boots,Footwear,54.0,Massachusetts,Fall,3.4,Yes,Store Pickup,27,Venmo,Quarterly
36.0,Male,Gloves,Accessories,41.0,North Carolina,Spring,2.9,Yes,Store Pickup,3,Debit Card,Quarterly
66.0,Male,Coat,Outerwear,24.0,Florida,Spring,3.3,Yes,Free Shipping,22,PayPal,Weekly
62.0,Male,Belt,Accessories,99.0,Montana,Summer,4.8,Yes,Standard,24,Cash,Fortnightly
41.0,Male,Hoodie,Clothing,32.0,Minnesota,Fall,3.8,Yes,Store Pickup,18,Debit Card,Quarterly
66.0,Male,Shoes,Footwear,71.0,Massachusetts,Summer,4.6,Yes,2-Day Shipping,39,Bank Transfer,Every 3 Months
51.0,Male,Dress,Clothing,49.0,Rhode Island,Winter,2.6,Yes,Next Day Air,25,Credit Card,Fortnightly
33.0,Male,Gloves,Accessories,50.0,Minnesota,Fall,3.4,Yes,Free Shipping,6,Cash,Annually
57.0,Male,Jewelry,Accessories,91.0,Nevada,Fall,4.2,Yes,Express,26,Bank Transfer,Weekly
45.0,Male,Belt,Accessories,46.0,New Mexico,Fall,3.9,Yes,Standard,43,Debit Card,Fortnightly
61.0,Male,Sweater,Clothing,50.0,North Carolina,Spring,2.9,Yes,2-Day Shipping,6,Credit Card,Monthly
55.0,Male,Skirt,Clothing,39.0,Virginia,Fall,4.2,Yes,Free Shipping,6,Debit Card,Quarterly
54.0,Male,Sneakers,Footwear,99.0,Alaska,Summer,3.0,Yes,Store Pickup,13,Cash,Quarterly
57.0,Male,Gloves,Accessories,48.0,Nevada,Winter,3.6,Yes,Next Day Air,13,PayPal,Monthly
27.0,Male,Coat,Outerwear,77.0,Pennsylvania,Fall,2.5,Yes,Next Day Air,11,Cash,Annually
64.0,Male,Backpack,Accessories,95.0,Illinois,Spring,2.6,Yes,Express,45,Venmo,Weekly
52.0,Male,Socks,Clothing,100.0,Delaware,Spring,4.3,Yes,Store Pickup,8,PayPal,Monthly
19.0,Male,Sneakers,Footwear,54.0,Vermont,Spring,3.3,Yes,Express,8,Credit Card,Annually
22.0,Male,Sweater,Clothing,68.0,Hawaii,Fall,2.6,Yes,Next Day Air,34,Bank Transfer,Fortnightly
18.0,Male,Jeans,Clothing,22.0,Illinois,Fall,3.6,Yes,Free Shipping,40,Debit Card,Bi-Weekly
29.0,Male,Hat,Accessories,84.0,California,Winter,2.6,Yes,Express,14,Debit Card,Bi-Weekly
42.0,Male,Hat,Accessories,46.0,Nevada,Summer,3.5,Yes,Standard,11,Credit Card,Quarterly
49.0,Male,Handbag,Accessories,53.0,Kentucky,Winter,3.0,Yes,Store Pickup,8,PayPal,Monthly
49.0,Male,Shirt,Clothing,60.0,Alabama,Spring,5.0,Yes,Standard,8,Venmo,Every 3 Months
55.0,Male,Socks,Clothing,32.0,Wyoming,Spring,2.5,Yes,Express,37,Venmo,Weekly
29.0,Male,Socks,Clothing,50.0,Massachusetts,Summer,2.9,Yes,Store Pickup,23,Debit Card,Annually
60.0,Male,Dress,Clothing,94.0,Utah,Spring,4.6,Yes,Express,38,Cash,Annually
34.0,Male,Shoes,Footwear,26.0,New York,Spring,3.6,Yes,Free Shipping,38,Cash,Quarterly
30.0,Male,Scarf,Accessories,44.0,Vermont,Winter,3.0,Yes,Store Pickup,12,Credit Card,Fortnightly
28.0,Male,Hoodie,Clothing,57.0,Hawaii,Summer,4.5,Yes,Standard,15,Cash,Weekly
63.0,Male,T-shirt,Clothing,65.0,Louisiana,Winter,4.5,Yes,Next Day Air,38,PayPal,Fortnightly
31.0,Male,Jeans,Clothing,72.0,Alabama,Winter,3.2,Yes,Store Pickup,41,Bank Transfer,Every 3 Months
46.0,Male,Shorts,Clothing,62.0,Louisiana,Spring,4.0,Yes,Next Day Air,37,PayPal,Fortnightly
70.0,Male,Hat,Accessories,21.0,Indiana,Winter,4.8,Yes,Express,16,Bank Transfer,Every 3 Months
53.0,Male,Handbag,Accessories,85.0,Michigan,Spring,3.7,Yes,Free Shipping,25,Venmo,Weekly
50.0,Male,Pants,Clothing,51.0,Rhode Island,Summer,3.8,Yes,Store Pickup,18,Bank Transfer,Quarterly
33.0,Male,Handbag,Accessories,84.0,Idaho,Fall,2.7,Yes,Standard,4,Credit Card,Bi-Weekly
22.0,Male,Sweater,Clothing,37.0,Louisiana,Summer,4.9,Yes,Store Pickup,12,Bank Transfer,Quarterly
50.0,Male,Scarf,Accessories,44.0,North Carolina,Summer,3.1,Yes,2-Day Shipping,35,PayPal,Fortnightly
34.0,Male,Sneakers,Footwear,45.0,New Jersey,Spring,4.2,Yes,Next Day Air,45,Venmo,Weekly
24.0,Male,Pants,Clothing,35.0,Alabama,Summer,3.8,Yes,Free Shipping,16,Credit Card,Monthly
69.0,Male,Backpack,Accessories,50.0,Kentucky,Winter,4.2,Yes,Store Pickup,10,Debit Card,Fortnightly
39.0,Male,Sandals,Footwear,26.0,New York,Summer,4.6,Yes,Store Pickup,34,Venmo,Annually
42.0,Male,Socks,Clothing,78.0,Arizona,Fall,4.0,Yes,2-Day Shipping,43,Credit Card,Annually
42.0,Male,Coat,Outerwear,82.0,Maryland,Fall,4.0,Yes,2-Day Shipping,38,Debit Card,Weekly
29.0,Male,Socks,Clothing,39.0,Alaska,Spring,3.8,Yes,2-Day Shipping,48,PayPal,Every 3 Months
55.0,Male,Belt,Accessories,55.0,Nevada,Summer,3.3,Yes,Free Shipping,31,PayPal,Annually
32.0,Male,Socks,Clothing,20.0,Utah,Summer,2.6,Yes,Free Shipping,20,Cash,Every 3 Months
25.0,Male,Belt,Accessories,29.0,New Mexico,Fall,4.9,Yes,Express,12,Credit Card,Fortnightly
38.0,Male,Pants,Clothing,41.0,Delaware,Winter,3.5,Yes,Next Day Air,2,Bank Transfer,Weekly
32.0,Male,Shorts,Clothing,38.0,Connecticut,Winter,2.8,Yes,Express,30,Venmo,Every 3 Months
44.0,Male,Boots,Footwear,47.0,Mississippi,Summer,2.6,Yes,Store Pickup,28,Venmo,Quarterly
41.0,Male,Dress,Clothing,30.0,Connecticut,Summer,3.7,Yes,Next Day Air,40,Debit Card,Monthly
56.0,Male,Jeans,Clothing,56.0,Florida,Summer,2.7,Yes,Standard,46,PayPal,Quarterly
27.0,Male,T-shirt,Clothing,89.0,New York,Winter,3.3,Yes,Express,15,Credit Card,Weekly
46.0,Male,Shoes,Footwear,96.0,Wisconsin,Fall,4.6,Yes,Next Day Air,38,Cash,Every 3 Months
48.0,Male,Boots,Footwear,81.0,South Carolina,Fall,4.9,Yes,Next Day Air,30,PayPal,Bi-Weekly
52.0,Male,Scarf,Accessories,83.0,South Dakota,Fall,4.9,Yes,Store Pickup,32,Debit Card,Bi-Weekly
18.0,Male,Sneakers,Footwear,35.0,Illinois,Winter,2.7,Yes,Free Shipping,36,Venmo,Quarterly
64.0,Male,Boots,Footwear,56.0,Alaska,Summer,3.2,Yes,Standard,32,Credit Card,Weekly
54.0,Male,Handbag,Accessories,45.0,Montana,Summer,2.9,Yes,Store Pickup,14,Debit Card,Annually
31.0,Male,Shirt,Clothing,62.0,Minnesota,Winter,3.8,Yes,Express,8,PayPal,Monthly
30.0,Male,Hat,Accessories,84.0,West Virginia,Spring,3.0,Yes,Next Day Air,27,Venmo,Bi-Weekly
26.0,Male,Sweater,Clothing,24.0,Illinois,Summer,3.9,Yes,Store Pickup,24,Debit Card,Monthly
25.0,Male,Handbag,Accessories,21.0,Nevada,Spring,4.7,Yes,Store Pickup,30,PayPal,Fortnightly
59.0,Male,Shirt,Clothing,91.0,Idaho,Winter,4.9,Yes,Store Pickup,34,Debit Card,Monthly
55.0,Male,Sunglasses,Accessories,36.0,Colorado,Winter,4.8,Yes,Next Day Air,28,Debit Card,Quarterly
56.0,Male,Sneakers,Footwear,39.0,Louisiana,Spring,2.5,Yes,2-Day Shipping,27,Debit Card,Monthly
62.0,Male,Hoodie,Clothing,39.0,Vermont,Spring,3.9,Yes,Standard,31,Credit Card,Bi-Weekly
35.0,Male,Shirt,Clothing,59.0,Mississippi,Winter,3.4,Yes,Standard,23,Bank Transfer,Annually
51.0,Male,Sunglasses,Accessories,27.0,Georgia,Winter,2.5,Yes,Free Shipping,11,Credit Card,Quarterly
61.0,Male,Blouse,Clothing,94.0,Georgia,Spring,3.0,Yes,Store Pickup,48,Cash,Quarterly
27.0,Male,Belt,Accessories,94.0,Nebraska,Fall,3.6,Yes,Next Day Air,17,Cash,Monthly
54.0,Male,Dress,Clothing,94.0,Massachusetts,Winter,3.6,Yes,Standard,36,PayPal,Weekly
31.0,Male,Shoes,Footwear,51.0,Colorado,Fall,4.1,Yes,Free Shipping,33,Bank Transfer,Fortnightly
24.0,Male,Socks,Clothing,62.0,Nevada,Fall,3.7,Yes,2-Day Shipping,27,PayPal,Bi-Weekly
42.0,Male,Socks,Clothing,57.0,Idaho,Spring,3.1,Yes,2-Day Shipping,14,Credit Card,Fortnightly
41.0,Male,Shorts,Clothing,76.0,Wyoming,Fall,4.2,Yes,Express,5,Credit Card,Annually
66.0,Male,Gloves,Accessories,63.0,Washington,Summer,4.3,Yes,Express,47,Cash,Every 3 Months
58.0,Male,Jacket,Outerwear,80.0,California,Fall,2.5,Yes,Express,28,Cash,Bi-Weekly
43.0,Male,Handbag,Accessories,68.0,Oklahoma,Fall,3.5,Yes,Standard,11,Credit Card,Annually
52.0,Male,Backpack,Accessories,89.0,Nevada,Summer,3.1,Yes,Free Shipping,18,Credit Card,Weekly
35.0,Male,Boots,Footwear,26.0,Maryland,Summer,2.5,Yes,Next Day Air,21,Debit Card,Weekly
23.0,Male,Gloves,Accessories,90.0,West Virginia,Winter,3.9,Yes,Store Pickup,22,Cash,Bi-Weekly
25.0,Male,Hoodie,Clothing,28.0,Illinois,Spring,4.9,Yes,Express,33,Cash,Every 3 Months
33.0,Male,Coat,Outerwear,29.0,Kentucky,Spring,4.3,Yes,Express,49,Credit Card,Annually
48.0,Male,Shirt,Clothing,31.0,Illinois,Spring,2.6,Yes,Free Shipping,10,Debit Card,Every 3 Months
42.0,Male,Shirt,Clothing,24.0,Alabama,Summer,4.2,Yes,2-Day Shipping,18,PayPal,Weekly
55.0,Male,Sweater,Clothing,88.0,Texas,Summer,2.6,Yes,Store Pickup,28,PayPal,Fortnightly
59.0,Male,Shirt,Clothing,87.0,Missouri,Spring,3.6,Yes,Express,25,PayPal,Weekly
65.0,Male,Hoodie,Clothing,80.0,Pennsylvania,Summer,3.2,Yes,Express,6,PayPal,Weekly
59.0,Male,Sandals,Footwear,48.0,Missouri,Winter,4.4,Yes,Express,44,Venmo,Bi-Weekly
31.0,Male,Belt,Accessories,21.0,Michigan,Winter,3.7,Yes,Standard,30,Venmo,Monthly
49.0,Male,Boots,Footwear,72.0,Kentucky,Spring,3.7,Yes,Express,42,Debit Card,Quarterly
53.0,Male,Hoodie,Clothing,44.0,New Jersey,Fall,4.1,Yes,Standard,30,PayPal,Monthly
48.0,Male,Sandals,Footwear,73.0,Delaware,Fall,3.6,Yes,Store Pickup,33,Credit Card,Bi-Weekly
23.0,Male,Jeans,Clothing,61.0,Missouri,Spring,4.3,Yes,Express,24,PayPal,Quarterly
68.0,Male,Shoes,Footwear,20.0,Connecticut,Winter,2.6,Yes,Store Pickup,13,Venmo,Monthly
35.0,Male,Sandals,Footwear,86.0,Massachusetts,Summer,2.9,Yes,Express,19,Debit Card,Monthly
34.0,Male,Dress,Clothing,60.0,Florida,Spring,4.2,Yes,Next Day Air,23,Debit Card,Every 3 Months
62.0,Male,Hat,Accessories,43.0,Delaware,Winter,4.0,Yes,Free Shipping,35,Cash,Monthly
21.0,Male,Pants,Clothing,44.0,California,Spring,4.3,Yes,Free Shipping,22,Venmo,Monthly
70.0,Male,Socks,Clothing,76.0,Oregon,Spring,3.0,Yes,2-Day Shipping,14,Credit Card,Quarterly
55.0,Male,Shirt,Clothing,33.0,Alaska,Summer,3.5,Yes,Express,47,Debit Card,Fortnightly
43.0,Male,Shorts,Clothing,60.0,Missouri,Fall,3.0,Yes,Standard,50,Debit Card,Every 3 Months
19.0,Male,Jacket,Outerwear,26.0,Oklahoma,Fall,3.1,Yes,Free Shipping,33,PayPal,Weekly
47.0,Male,Hoodie,Clothing,73.0,Wisconsin,Winter,4.0,Yes,Next Day Air,7,Debit Card,Monthly
26.0,Male,Shoes,Footwear,87.0,South Carolina,Spring,4.1,Yes,Standard,3,Cash,Monthly
46.0,Male,Skirt,Clothing,100.0,Virginia,Spring,3.3,Yes,2-Day Shipping,35,Credit Card,Every 3 Months
19.0,Male,Coat,Outerwear,84.0,Arkansas,Winter,4.9,Yes,Standard,13,PayPal,Fortnightly
49.0,Male,Sneakers,Footwear,41.0,Vermont,Summer,3.9,Yes,Standard,42,PayPal,Fortnightly
51.0,Male,Jeans,Clothing,59.0,Kentucky,Winter,3.9,Yes,Next Day Air,5,PayPal,Annually
64.0,Male,Blouse,Clothing,26.0,Colorado,Winter,4.8,Yes,Store Pickup,23,Venmo,Annually
67.0,Male,Sunglasses,Accessories,69.0,New Mexico,Summer,2.7,Yes,Free Shipping,11,PayPal,Bi-Weekly
37.0,Male,Jacket,Outerwear,20.0,Colorado,Spring,3.1,Yes,Free Shipping,23,Bank Transfer,Fortnightly
40.0,Male,Dress,Clothing,83.0,North Carolina,Summer,3.2,Yes,Next Day Air,2,Credit Card,Every 3 Months
38.0,Male,Hat,Accessories,54.0,New Hampshire,Spring,2.7,Yes,2-Day Shipping,33,PayPal,Weekly
66.0,Male,Hoodie,Clothing,66.0,West Virginia,Fall,2.5,Yes,Standard,6,Bank Transfer,Bi-Weekly
47.0,Male,Handbag,Accessories,42.0,Hawaii,Spring,2.6,Yes,Next Day Air,45,Debit Card,Quarterly
56.0,Male,Jeans,Clothing,33.0,North Dakota,Spring,2.9,Yes,Standard,25,Cash,Quarterly
51.0,Male,Boots,Footwear,77.0,Mississippi,Summer,4.2,Yes,Free Shipping,24,Venmo,Quarterly
25.0,Male,Jacket,Outerwear,65.0,Maine,Fall,4.4,Yes,Free Shipping,10,Venmo,Every 3 Months
37.0,Male,Sandals,Footwear,39.0,North Dakota,Summer,4.1,Yes,Free Shipping,7,Bank Transfer,Every 3 Months
41.0,Male,Belt,Accessories,51.0,Nebraska,Summer,3.8,Yes,2-Day Shipping,1,Debit Card,Weekly
64.0,Male,Handbag,Accessories,65.0,Nebraska,Winter,4.9,Yes,Next Day Air,45,Venmo,Every 3 Months
23.0,Male,Sunglasses,Accessories,89.0,Tennessee,Summer,4.9,Yes,Express,37,Debit Card,Weekly
